,id,TCaCO3,TC_CaCO3,TC_CHN,TOC_CHN,TOC_re6,Cstable_TOC_re6_ratio,Cstable_re6_corrCHN,Cactive_AMG_re6_corrCHN,clay_sed,sand_sed,fine_medium_silt_sed,coarse_silt_sed,texture_class,Clay,Sand,Silt,Texture class
961,2732,123.0,14.7603195220158,36.471,21.7106804779841,,0.541115645182177,11.7479888741884,9.96269160379566,202.13625,71.16377,392.84882,317.97651,silt_loam,202.13625,71.16377,710.82533,silt_loam
963,2746,250.0,30.0006494349915,51.073,21.0723505650084,,0.52872855212255,11.1415534040557,9.93079716095272,169.15924,233.42626,365.34064,222.11508,silt_loam,169.15924,233.42626,587.45572,silt_loam
964,2753,62.0,7.4401610598779,29.124,21.683838940122,,0.582783925839969,12.6369927848059,9.04684615531614,163.8678,65.88626,368.41462,378.17037,silt_loam,163.8678,65.88626,746.5849900000001,silt_loam
970,2822,196.0,23.5205091570333,49.516,25.9954908429666,,0.503366194530896,13.0852513005868,12.9102395423797,186.63989,143.79236,357.6951,298.09242,silt_loam,186.63989,143.79236,655.7875200000001,silt_loam
981,2919,45.0,5.40011689829848,22.0,16.5998831017015,,0.695817941716824,11.5504964925658,5.04938660913566,212.24668,149.57249,305.43744,323.08293,silt_loam,212.24668,149.57249,628.52037,silt_loam
988,3018,0.0,0.0,12.6,12.6,,0.541304356478904,6.82043489163418,5.77956510836581,241.25511,130.38916,338.85712,284.24319,silt_loam,241.25511,130.38916,623.10031,silt_loam
989,3743,709.0,85.081841797636,98.6,13.5181582023639,,0.514987098493993,6.96167706961819,6.55648113274574,128.05609,322.55754,365.5771,173.21724,silt_loam,128.05609,322.55754,538.7943399999999,silt_loam
994,3095,370.0,44.4009611637875,63.941,19.5400388362125,,0.520604749224712,10.1726370181675,9.36740181804493,202.79768,67.89674,393.9523,319.44654,silt_loam,202.79768,67.89674,713.3988400000001,silt_loam
995,3109,273.0,32.7607091830107,51.437,18.6762908169892,,0.579089538940887,10.8152446383362,7.86104617865301,202.51421,68.81821,393.47938,319.13706,silt_loam,202.51421,68.81821,712.61644,silt_loam
1008,3231,123.0,14.7603195220158,35.466,20.7056804779841,,0.641291383276653,13.2783744754108,7.42730600257328,187.77377,127.2059,362.739579999999,307.53156,silt_loam,187.77377,127.2059,670.271139999999,silt_loam
1018,3303,42.0,5.04010910507858,22.881,17.8408908949214,,0.609998949196819,10.8829246986371,6.95796619628425,185.22254,225.55188,344.53216,236.66064,silt_loam,185.22254,225.55188,581.1928,silt_loam
1023,3341,96.0,11.5202493830367,29.629,18.1087506169632,,0.593346062733114,10.7447558795909,7.36399473737225,201.09686,75.77112,391.03596,316.42911,silt_loam,201.09686,75.77112,707.46507,silt_loam
1026,3366,22.0,2.64005715027925,16.2,13.5599428497207,,0.631182771996397,8.55880231599946,5.00114053372127,208.65606,59.51974,379.05532,336.93216,silt_loam,208.65606,59.51974,715.98748,silt_loam
1047,3533,164.0,19.6804260293544,39.503,19.8225739706455,,0.544565955443188,10.7946989336678,9.02787503697768,156.11962,215.49948,349.26136,265.05543,silt_loam,156.11962,215.49948,614.3167900000001,silt_loam
1048,3547,198.0,23.7605143525133,44.855,21.0944856474866,,0.548642705564057,11.5733356781192,9.52114996936742,144.0249,310.32712,306.38328,229.46523,silt_loam,144.0249,310.32712,535.84851,silt_loam
