"id","TCaCO3","TC_CaCO3","TC_CHN","TOC_CHN","TOC_re6","Cstable_TOC_re6_ratio","Cstable_re6_corrCHN","Cactive_AMG_re6_corrCHN","clay_sed","sand_sed","fine_medium_silt_sed","coarse_silt_sed","texture_class"
23702,27,3.240070138979088,18,14.75992986102091,12.78,0.6559,9.681037995843615,5.078891865177295,425.4,444.3,97.3,33,"clay"
23200,2,0.2400051954799325,10,9.759994804520067,8.82,0.6909000000000001,6.743180410442915,3.016814394077152,257.7,215,270,257.3,"silt_loam"
23201,145,17.4003766722951,42.6,25.1996233277049,23,0.4902,12.35285535524094,12.84676797246396,302.1,251.7,330.1,116.2,"loam"
23202,1,0.1200025977399662,13.1,12.97999740226003,11.47,0.6285000000000001,8.15792836732043,4.8220690349396,343,178.5,300.1,178.4,"silty_clay_loam"
23203,71,8.520184439537603,33.2,24.6798155604624,22.16,0.4902,12.09804558773867,12.58176997272373,350.8,352.3,190.8,106.1,"loam"
23204,10,1.200025977399662,18.6,17.39997402260034,15.32,0.5484,9.542145753994026,7.857828268606314,375,207.7,239.8,177.5,"clay_loam"
23207,2,0.2400051954799325,12.5,12.25999480452007,11,0.6537999999999999,8.015584603195222,4.244410201324849,351.6,187.6,301.6,159.2,"silty_clay_loam"
23209,1,0.1200025977399662,12.3,12.17999740226004,10.75,0.6656,8.107006270944282,4.072991131315758,342.4,193.1,256.3,208.1,"silty_clay_loam"
23211,56,6.720145473438109,24.1,17.37985452656189,15.43,0.5111,8.882843648525782,8.497010878036107,351.5,31.3,307.9,309.3,"silty_clay_loam"
23703,1,0.1200025977399662,10.1,9.979997402260034,8.82,0.7067,7.052864164177166,2.927133238082868,216.3,477.4,198.3,107.9,"loam"
23308,24,2.880062345759189,22.8,19.91993765424081,18,0.5177,10.31255172360047,9.607385930640342,255.9,137.9,304.1,302.1,"silty_clay_loam"
23309,95,11.40024678529679,31.3,19.89975321470321,18.77,0.5285,10.51701957397065,9.382733640732564,353.7,45.8,284.4,316,"silty_clay_loam"
23310,7,0.8400181841797636,18.6,17.75998181582024,15.52,0.5421,9.627686142356152,8.132295673464087,364.5,31.1,309.8,294.6,"silty_clay_loam"
23313,7,0.8400181841797636,18.1,17.25998181582024,15.58,0.5451,9.408416087803612,7.851565728016626,428.2,135.9,274,161.9,"silty_clay"
23314,9,1.080023379659696,18.9,17.8199766203403,15.99,0.5390999999999999,9.606749396025453,8.213227224314846,372.4,37.6,288.3,301.8,"silty_clay_loam"
18101,3,0.3600077932198987,14.2,13.8399922067801,11.94,0.6187,8.562803178334848,5.277189028445251,337.5,201.2,250,211.3,"silty_clay_loam"
23093,1,0.1200025977399662,8.9,8.779997402260035,7.68,0.6981999999999999,6.130194186257956,2.649803216002079,204.1,407.9,186.5,201.5,"loam"
18106,6,0.7200155864397974,12.6,11.8799844135602,10.78,0.6737000000000001,8.003545499415507,3.876438914144692,378.7,93.7,262.4,265.2,"silty_clay_loam"
23094,1,0.1200025977399662,11.5,11.37999740226003,10.38,0.6616,7.529006281335235,3.850991120924794,313.7,194.6,280.6,211.1,"silty_clay_loam"
23098,5,0.6000129886998311,15,14.39998701130017,13.11,0.5346,7.69823305624107,6.701753955059099,253.7,125.2,320,301,"silty_clay_loam"
23100,33,3.960085725418886,21,17.03991427458111,15.9,0.5192,8.847123491362513,8.192790783218598,337.4,66.2,337.7,258.6,"silty_clay_loam"
18307,9,1.080023379659696,32.1,31.01997662034031,18.03,0.562,17.43322686063125,13.58674975970905,316.3,372.6,173.7,137.3,"loam"
23092,5,0.6000129886998311,11.8,11.19998701130017,9.7,0.6492,7.27103156773607,3.928955443564099,217.4,626.9,101.1,54.5,"sandy_clay_loam"
23097,28,3.360072736719054,21.1,17.73992726328095,16.26,0.5205,9.233632140537734,8.506295122743216,367.1,57.9,413.9,161.1,"silty_clay_loam"
23927,264,31.68068580335109,46.068,14.38731419664891,14.21,0.6579,9.46541400997532,4.921900186673592,404.6,106,403.5,85.9,"silty_clay_loam"
18056,1,0.1200025977399662,11.4,11.27999740226003,9.05,0.5099,5.751670675412389,5.528326726847641,75.1,728.9,105.8,90.2,"loamy_sand"
18058,1,0.1200025977399662,10.6,10.47999740226003,8.51,0.6787000000000001,7.112774236913884,3.367223165346147,176.2,350.4,232.9,240.5,"loam"
18059,1,0.1200025977399662,9.5,9.379997402260035,7.47,0.6777,6.356824239511625,3.023173162748409,117.5,592.7,163.1,126.7,"sandy_loam"
18051,1,0.1200025977399662,10.4,10.27999740226003,8.51,0.5846,6.009686481361213,4.270310920898816,114,524.7,174.8,186.5,"sandy_loam"
