"sample_id","TN_CHN","TC_CHN"
30204,1.8,78.3
23092,1.3,11.8
30569,1.7,82.2
23140,1.9,15.6
23192,1.6,13.4
23207,1.6,12.5
23209,1.5,12.3
23211,2.2,24.1
23223,2.4,41.7
23256,1,8.7
23257,1.1,9.6
23260,1.3,10.2
24247,1.4,95.7
24262,2,44.4
24307,1.77,68.91
30543,1.1,11.7
24391,2.372,78.557
24403,2.751,74.625
24415,2.443,56.022
24453,0.99,9.93
25084,0.7,8.6
25092,1.4,66.4
25355,2.5,26.8
25363,2.7,52.9
25364,3.1,44.8
25365,1.8,31.4
9287,1.2,10.8
25163,2.8,35.2
26103,1.8,67.1
26243,1.2,66.6
26255,1.4,46.2
26278,2,79
26279,2.3,85
27623,3.5,54.6
28695,1.5,15.5
28698,1.2,11.9
28701,1.5,25.3
30307,1.4,49.8
30308,0.97,24.2
30312,1.9,40.4
30337,2.2,22.4
26595,2.7,34.5
29546,0.9,13
30668,1.8,73.1
30744,3.1,33.6
30771,1.5,62.6
26785,1.2,11.8
29553,0.86,14.3
30033,2.1,31.5
30685,2.3,32.5
9141,2.2,20.3
10903,1.3,12.3
10905,1.2,10.7
11605,1.4,15.8
11619,2,43.2
23253,1.3,13
23254,1.2,12.4
25149,1.1,8.76
9136,1.2,10.9
23258,0.8,7.5
25095,1.5,67.1
30223,2.5,124
30324,2,22.3
25971,1.7,38.3
26189,1.9,101
30634,2.1,67.4
30635,2.3,79.2
30636,2,39.3
26190,2.5,68
26335,2,21
30637,1.3,14
30638,2.3,63
26029,2.3,32.2
26204,1.5,30.8
26232,1.3,45.9
26238,1.7,50.9
30639,3,75.9
9273,1.5,15.4
10128,0.8,9.1
26280,2.8,86.1
30640,1.7,92.9
30641,1.1,10.4
23263,1.2,11.3
23762,1.2,11.5
25194,3,61.9
26282,2.9,90.1
28150,2.2,16.8
28151,2,16.9
18043,1.7,17.3
24393,1.553,35.899
25836,1.1,10.1
26286,2.9,83.3
28333,3,38.6
11761,1.6,26.4
18237,1.3,14.5
23303,2,30
26292,2.2,19.3
28487,0.9,12.5
30642,1.5,13
26293,2.7,27
29599,3.6,72.1
30646,1.1,10.5
26303,1.4,63.7
26726,1.7,17.5
30648,2.3,24.5
23065,2.3,20.1
23066,3.2,30.1
23067,0.9,9.7
25246,2,44.5
26147,2.3,64.8
26453,2.1,29.9
22913,1,9.3
26311,0.87,82.7
10791,1.9,26.5
10914,1.1,11
26318,1.3,19.6
30653,2.8,57.4
11136,2.5,32.2
18236,1,10.5
26481,2.2,43.4
26482,1.8,32.6
30029,2.4,30.9
30688,1.9,74.6
23163,1.6,31.1
24394,1.748,60.046
26516,3,36.5
10513,1.3,12.3
24400,1.139,12.155
24401,1.045,11.345
26517,2.4,35.6
26519,2.5,26.3
30683,1.8,86.7
23068,1.4,12.9
23069,1.6,15.6
26320,1.4,25
26520,1.9,19
26526,2.1,28.5
10139,0.9,11.2
10907,1.1,11.3
11604,1.6,43.3
24407,1.63,79.62
24408,1.696,54.418
10688,1,10.9
10689,1,10.5
11817,2.4,27.7
24454,0.699,11.965
26598,3.1,49.1
10819,1,10.5
10911,1.2,12
11823,2.4,29.8
24455,0.909,12.823
24456,1.35,17.58
25917,1.3,14.2
11826,1.2,12.8
17998,1.3,13.2
24558,1.43,46.793
25931,1.3,57.4
26315,1.4,20.8
26601,0.84,9.67
5195,2.1,56.4
26604,1.5,14.9
26680,2.1,31.7
26682,0.89,9.4
18012,1.7,72.9
25933,1.5,50.4
25934,2,31.6
26688,1.8,25
30553,3.1,41.3
30557,2.8,32.6
5237,2.2,25.7
9109,0.8,8.2
10913,1.3,12.6
26188,2.7,97.6
26768,1.3,11.4
26770,0.89,11.7
5289,1.7,16.5
10540,1.9,16.7
10900,1.4,14.2
18056,0.9,11.4
28495,0.75,9.26
28499,0.65,8.29
25935,1.9,36.7
26287,2.9,93.9
30410,1.7,47.7
30633,1.9,86.3
18296,1.8,17.8
23699,2.5,23.2
25944,1.6,49.5
10728,2.4,43.3
25155,0.83,7.07
