id,batch_number,TCaCO3,TOC_CHN,TOCre6,MINC,rock_eval_toc_yield,carbonate_class,broad_texture_class,toc_class
11222,220216 GB Soils,461.0,16.67880244187557,10.46,5.68,0.6271433477584708,carbonated,loam,middle
11241,220216 GB Soils,582.0,14.85848811533965,10.09,7.36,0.6790731278765338,carbonated,clay,low
11266,220216 GB Soils,450.0,24.1988310170152,21.01,5.79,0.8682237578016476,carbonated,loam,high
11277,220216 GB Soils,93.0,17.13975841018314,16.2,1.3,0.9451708485211315,carbonated,loam,middle
11278,220216 GB Soils,434.0,18.01887258085465,15.58,5.47,0.864648991222348,carbonated,clay,middle
11500,220216 GB Soils,199.0,23.51948304974672,17.21,2.62,0.7317337699811958,carbonated,loam,high
11506,220216 GB Soils,556.0,22.57855565657877,16.63,7.06,0.7365395844155547,carbonated,loam,high
11520,220216 GB Soils,20.4330477214141,10.14798119368561,8.24,0.37,0.8119841614534313,carbonated,clay,low
11587,220216 GB Soils,274.0,17.21928821924926,16.29,3.56,0.9460321351604755,carbonated,clay,middle
10725,220222 GB Soils,6.0,41.1799844135602,17.77,0.24,0.4315203187436977,not_carbonated,clay,high
10742,220222 GB Soils,81.0,19.57978958306273,17.85,1.24,0.9116543323550799,carbonated,loam,middle
11125,220222 GB Soils,383.0,24.43900506559294,22.95,4.89,0.939072598839579,carbonated,clay,high
10810,220228 GB Soils,60.0,16.29984413560203,14.13,0.87,0.8668794549475067,carbonated,sand,high
10818,220228 GB Soils,1.0,8.979997402260034,8.36,0.07,0.9309579530497417,not_carbonated,sand,low
10961,220228 GB Soils,3.0,12.0399922067801,11.09,0.15,0.921096941720184,not_carbonated,clay,low
10962,220228 GB Soils,4.0,12.81998960904014,11.82,0.15,0.9219976271794332,not_carbonated,clay,low
10966,220228 GB Soils,194.0,12.41949603844655,11.72,2.36,0.9436775827069677,carbonated,silt,low
10970,220228 GB Soils,5.0,12.79998701130017,11.29,0.17,0.8820321450352165,not_carbonated,clay,low
10983,220228 GB Soils,1.0,13.37999740226003,12.03,0.14,0.8991033135752328,not_carbonated,clay,low
11330,220228 GB Soils,2.0,50.15999480452007,45.25,0.39,0.9021133310787821,not_carbonated,clay,high
11332,220228 GB Soils,0.0,47.5,41.1,0.35,0.8652631578947368,not_carbonated,clay,high
11338,220228 GB Soils,69.0,38.51982075594233,32.6,1.13,0.8463175414691125,carbonated,clay,high
11340,220228 GB Soils,8.0,31.53997921808027,26.95,0.37,0.854471076650264,not_carbonated,clay,high
11355,220228 GB Soils,273.0,26.63929081698922,21.87,3.67,0.8209678009165469,carbonated,clay,high
11367,220228 GB Soils,41.0,30.07989349266138,25.2,0.8,0.8377689238210922,carbonated,silt,high
11422,220228 GB Soils,1.0,14.47999740226003,9.39,0.09,0.6484807793221299,not_carbonated,silt,middle
11426,220228 GB Soils,1.0,15.17999740226004,10.76,0.12,0.7088275257806053,not_carbonated,loam,middle
11437,220228 GB Soils,1.0,12.87999740226003,8.82,0.1,0.6847827468080367,not_carbonated,silt,middle
11701,220228 GB Soils,0.0,12.0,7.99,0.08,0.6658333333333334,not_carbonated,loam,middle
11702,220228 GB Soils,100.0,26.19974022600338,17.48,1.43,0.6671821876558535,carbonated,loam,high
11716,220228 GB Soils,1.0,7.979997402260033,7.39,0.09,0.926065464370585,not_carbonated,loam,low
11741,220228 GB Soils,1.0,9.379997402260036,0.6,0.13,0.06396590257641593,not_carbonated,sand,middle
23700,220228 GB Soils,3.0,16.5399922067801,15.09,0.17,0.9123341662648597,not_carbonated,clay,middle
11604,220308 GB Soils,268.0,11.13930380568905,13.57,3.07,1.2182089865499088,carbonated,silt,low
11761,220308 GB Soils,110.0,13.19971424860371,14.25,1.26,1.0795688248711437,carbonated,clay,low
11762,220308 GB Soils,119.0,13.11969086894402,13.64,1.52,1.0396586425894851,carbonated,loam,low
11767,220308 GB Soils,332.0,13.45913755033121,17.91,3.65,1.330694476746711,carbonated,loam,low
11769,220308 GB Soils,225.0,10.1994155085076,14.87,2.27,1.4579266809550548,carbonated,loam,low
11781,220308 GB Soils,170.0,15.59955838420574,16.5,1.89,1.0577222504392139,carbonated,clay,middle
17893,220308 GB Soils,6.0,19.1799844135602,17.6,0.2,0.9176232691595332,not_carbonated,clay,middle
18078,220316 GB Soils,2.0,7.259994804520067,6.68,0.08,0.9201108512971713,not_carbonated,sand,low
18079,220316 GB Soils,2.0,8.259994804520067,7.19,0.09,0.870460595939535,not_carbonated,sand,low
18154,220316 GB Soils,208.0,22.83945967008702,23.18,2.56,1.0149101745326745,carbonated,loam,high
18201,220316 GB Soils,151.0,22.5796077412651,21.44,2.02,0.9495293384046516,carbonated,silt,high
18249,220316 GB Soils,346.0,13.07910118197169,13.35,4.25,1.0207123420989905,carbonated,silt,low
18254,220316 GB Soils,470.0,11.79877906221588,13.51,5.58,1.1450337300800972,carbonated,silt,low
18263,220316 GB Soils,6.0,19.6799844135602,18.27,0.22,0.9283543937875951,not_carbonated,loam,high
18266,220316 GB Soils,3.0,8.739992206780101,8.17,0.1,0.9347834422165815,not_carbonated,sand,low
18269,220316 GB Soils,131.0,16.47965969606443,16.56,1.69,1.0048751191115162,carbonated,clay,middle
18321,220316 GB Soils,3.0,6.539992206780101,6.24,0.09,0.9541295773305212,not_carbonated,sand,low
18566,220316 GB Soils,3.0,11.6399922067801,15.99,0.17,1.3737122599348557,not_carbonated,loam,middle
18605,220316 GB Soils,49.0,13.81987271074165,12.84,0.74,0.9290968353145516,carbonated,loam,low
18655,220404 GB Soils,91.0,12.47976360566307,14.02,1.19,1.1234187155306372,carbonated,clay,low
18663,220404 GB Soils,2.0,12.35999480452007,12.89,0.12,1.0428806972706903,not_carbonated,loam,middle
18664,220404 GB Soils,234.0,6.819392128847902,13.25,2.61,1.9429884291224229,carbonated,loam,low
18667,220404 GB Soils,1.0,8.879997402260035,9.18,0.09,1.0337840862052068,not_carbonated,sand,low
22249,220404 GB Soils,42.0,11.35989089492142,11.57,0.67,1.0184956974518578,carbonated,loam,low
22334,220404 GB Soils,25.0,13.29993505650084,11.47,0.48,0.8624102261607368,carbonated,loam,low
22918,220404 GB Soils,194.0,28.21949603844655,25.56,2.5,0.9057567847837104,carbonated,loam,high
23576,220404 GB Soils,2.0,21.95999480452007,19.17,0.17,0.8729510262021648,not_carbonated,silt,high
24185,220404 GB Soils,1.0,18.17999740226004,16.09,0.17,0.8850386303135432,not_carbonated,silt,high
11623,220419 GB Soils,1.0,13.57999740226003,11.74,0.13,0.8645067927661156,not_carbonated,loam,middle
18053,220419 GB Soils,1.0,14.47999740226003,8.93,0.09,0.6167128178217912,not_carbonated,loam,middle
18063,220419 GB Soils,1.0,15.47999740226003,10.29,0.1,0.6647287937204494,not_carbonated,loam,middle
18302,220419 GB Soils,1.0,16.87999740226003,11.8,0.09,0.6990522402817504,not_carbonated,sand,high
18305,220419 GB Soils,14.0,35.61996363164047,20.63,0.32,0.5791695975139851,,loam,
18307,220419 GB Soils,9.0,31.01997662034031,18.03,0.24,0.581238349102347,,loam,
22241,220419 GB Soils,12.0,22.2599688271204,10.41,0.29,0.4676556414273587,,loam,
22242,220419 GB Soils,15.0,22.19996103390051,11.66,0.4,0.5252261471177614,,loam,
22243,220419 GB Soils,3.0,18.1399922067801,10.92,0.11,0.6019848231201821,not_carbonated,loam,high
22244,220419 GB Soils,2.0,16.25999480452007,10.1,0.1,0.6211564100372485,not_carbonated,loam,high
22703,220419 GB Soils,1.0,13.87999740226003,8.32,0.1,0.5994237433103039,not_carbonated,sand,high
22704,220419 GB Soils,1.0,20.57999740226003,12.32,0.13,0.598639531346445,not_carbonated,sand,high
22705,220419 GB Soils,3.0,19.0399922067801,12.19,0.19,0.6402313544886414,not_carbonated,loam,high
22706,220419 GB Soils,2.0,13.05999480452007,8.18,0.08,0.6263402185404314,not_carbonated,sand,middle
22707,220419 GB Soils,2.0,15.05999480452007,10.12,0.15,0.6719789834829563,not_carbonated,sand,high
22805,220419 GB Soils,1.0,10.67999740226004,9.44,0.09,0.8838953460796124,not_carbonated,silt,low
22875,220419 GB Soils,2.0,10.05999480452007,11.02,0.09,1.0954280011206952,not_carbonated,loam,low
22928,220419 GB Soils,1.0,17.17999740226004,9.49,0.08,0.5523865794503313,not_carbonated,silt,high
22931,220419 GB Soils,2.0,20.85999480452007,8.93,0.08,0.4280921488084452,not_carbonated,silt,high
23070,220419 GB Soils,27.0,19.15992986102091,9.71,0.42,0.5067868238784157,carbonated,loam,middle
23074,220419 GB Soils,14.0,24.11996363164047,16.0,0.36,0.663350917287921,,loam,
23081,220419 GB Soils,33.0,40.43991427458111,10.54,0.49,0.2606335890930663,carbonated,loam,high
23087,220419 GB Soils,195.0,13.79949344070659,13.43,2.42,0.9732241301251946,carbonated,clay,low
23139,220419 GB Soils,105.0,30.49972723730355,27.35,1.54,0.8967293309609935,carbonated,clay,high
23184,220419 GB Soils,120.0,11.09968827120405,10.24,1.54,0.9225484310731193,carbonated,silt,low
23187,220419 GB Soils,90.0,9.599766203403036,8.51,1.17,0.8864799224988705,carbonated,loam,low
23195,220419 GB Soils,2.0,11.05999480452007,10.46,0.1,0.9457508963498916,not_carbonated,loam,low
23207,220419 GB Soils,2.0,12.25999480452007,11.0,0.14,0.8972271338927867,not_carbonated,loam,middle
23234,220419 GB Soils,190.0,21.69950642940642,19.23,2.39,0.886195271886008,carbonated,silt,high
22299,220420 GB Soils,2.0,8.859994804520067,7.81,0.08,0.8814903588900079,not_carbonated,silt,low
22305,220420 GB Soils,2.0,11.95999480452007,10.75,0.09,0.8988298218940051,not_carbonated,silt,middle
23164,220420 GB Soils,136.0,14.97964670736459,12.6,1.88,0.8411413330466158,carbonated,silt,low
23166,220420 GB Soils,67.0,15.15982595142226,12.57,1.02,0.8291651922838014,carbonated,silt,middle
23294,220420 GB Soils,1.0,16.47999740226004,15.29,0.14,0.9277914083835447,not_carbonated,loam,high
23298,220420 GB Soils,9.0,12.0199766203403,11.17,0.21,0.9292863333110014,,loam,
23686,220420 GB Soils,3.0,11.1399922067801,10.31,0.12,0.9254943637864537,not_carbonated,loam,low
23694,220420 GB Soils,1.0,10.67999740226004,9.56,0.11,0.89513130386876,not_carbonated,loam,low
23762,220420 GB Soils,4.0,11.01998960904013,10.03,0.16,0.9101641975934349,not_carbonated,silt,low
23785,220420 GB Soils,75.0,16.49980516950253,15.09,1.1,0.9145562535424147,carbonated,clay,middle
23792,220420 GB Soils,114.0,15.41970385764385,14.45,1.57,0.9371126795562194,carbonated,loam,middle
23813,220420 GB Soils,242.0,20.15937134692818,18.04,3.22,0.8948691747150577,carbonated,silt,middle
23820,220420 GB Soils,172.0,24.55955318872581,20.97,2.58,0.8538428952211714,carbonated,clay,high
24233,220422 GB Soils,10.0,19.99997402260034,13.9,0.43,0.6950009027158107,,loam,
24242,220422 GB Soils,20.0,11.59994804520068,9.68,0.34,0.8344864961705555,carbonated,sand,low
24248,220422 GB Soils,624.0,13.31837901026107,14.74,7.58,1.1067412925134246,carbonated,clay,low
24267,220422 GB Soils,21.0,14.37994544746071,12.61,0.38,0.8769157050054556,carbonated,sand,middle
24268,220422 GB Soils,519.0,28.31865177295752,26.87,6.66,0.9488446065663024,carbonated,clay,high
24270,220422 GB Soils,636.0,17.57834783738149,11.83,8.69,0.6729870241185433,carbonated,clay,middle
24286,220422 GB Soils,612.0,19.64841018314067,12.65,8.56,0.6438179925037569,carbonated,clay,middle
24307,220422 GB Soils,451.0,14.78882841927523,14.9,5.8,1.0075172676004458,carbonated,loam,middle
24349,220422 GB Soils,1.0,11.32999740226003,9.04,0.09,0.7978819128587586,not_carbonated,sand,middle
24352,220422 GB Soils,414.0,24.53892453565398,24.8,5.4,1.0106392382423561,carbonated,loam,high
24375,220422 GB Soils,5.0,12.17998701130017,11.36,0.19,0.9326775134867209,not_carbonated,loam,middle
24309,220427 GB Soils,256.0,19.99533497856865,16.82,3.5,0.8411962099173618,carbonated,clay,middle
24310,220427 GB Soils,535.0,17.65761020911806,11.21,7.29,0.6348537467551166,carbonated,loam,middle
24318,220427 GB Soils,438.0,11.76286218989479,10.62,5.53,0.9028414877735627,carbonated,clay,low
24334,220427 GB Soils,794.0,10.99893739446682,10.25,10.1,0.9319082046195132,carbonated,clay,low
24351,220427 GB Soils,150.0,14.57761033900507,11.66,2.1,0.7998567480433698,carbonated,loam,middle
24400,220427 GB Soils,8.0,11.19497921808027,10.1,0.2,0.9021901517859147,not_carbonated,loam,low
24412,220427 GB Soils,264.0,24.70931419664891,21.56,3.55,0.8725454631567223,carbonated,loam,high
24617,,,,7.998,70.478,,,,
24618,,,,18.422,79.4,,,,
24619,,,,26.554,58.032,,,,
