Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;StableCarbon;ActiveCarbon;Confidence;
SOIL_10989;485.00;548.00;360.00;408.00;462.00;523.00;509.00;454.00;505.00;556.00;0.07;0.86;0.42;105.13;250.28;96.89;237.39;0.44;2.04;0.21;9.91;341.00;395.00;0.86;3.34;78.64;21.36;21.26;
SOIL_11074;477.00;534.00;354.00;405.00;459.00;521.00;494.00;440.00;495.00;548.00;0.12;2.28;0.51;137.71;256.62;74.41;229.16;0.60;4.49;0.23;19.92;343.00;399.00;2.28;6.87;58.05;41.95;30.75;
SOIL_11075;476.00;534.00;348.00;397.00;451.00;515.00;486.00;434.00;490.00;547.00;0.14;2.97;0.53;144.74;247.78;72.20;221.46;0.65;5.62;0.23;24.74;336.00;394.00;2.97;7.98;52.14;47.86;20.17;
SOIL_11076;474.00;531.00;351.00;400.00;453.00;516.00;478.00;427.00;483.00;540.00;0.13;2.71;0.51;139.27;262.80;70.72;231.54;0.60;5.31;0.23;23.47;340.00;396.00;2.71;7.85;52.56;47.44;21.24;
SOIL_11077;470.00;526.00;349.00;398.00;452.00;515.00;464.00;425.00;478.00;535.00;0.14;3.25;0.51;139.90;270.85;67.40;235.49;0.59;6.38;0.23;27.95;339.00;393.00;3.25;9.36;52.09;47.91;22.44;
SOIL_11077BIS;471.00;529.00;350.00;400.00;453.00;516.00;466.00;424.00;478.00;535.00;0.15;3.21;0.51;139.49;268.58;68.38;234.40;0.60;6.30;0.23;27.71;341.00;395.00;3.21;9.29;52.14;47.86;22.51;
SOIL_11078;469.00;529.00;349.00;399.00;452.00;515.00;471.00;425.00;479.00;537.00;0.12;2.07;0.46;125.47;290.01;74.05;253.23;0.50;4.47;0.22;19.89;336.00;392.00;2.07;6.80;54.22;45.78;22.87;
SOIL_11080;477.00;533.00;348.00;397.00;451.00;516.00;493.00;436.00;491.00;549.00;0.14;3.51;0.57;162.77;235.09;73.11;212.75;0.77;6.20;0.24;25.95;335.00;395.00;3.51;8.64;51.34;48.66;22.21;
SOIL_11090;473.00;522.00;359.00;412.00;466.00;524.00;505.00;444.00;500.00;555.00;0.11;2.69;0.59;171.37;227.76;62.66;201.46;0.85;4.58;0.24;18.91;337.00;396.00;2.69;7.18;52.18;47.82;31.49;
SOIL_11091;474.00;525.00;357.00;409.00;464.00;524.00;481.00;436.00;491.00;546.00;0.11;2.82;0.59;178.72;231.04;69.39;207.68;0.86;4.79;0.25;19.04;337.00;395.00;2.82;7.31;51.75;48.25;32.52;
